| 4. Dezember 2013|<a href="/Treffen/Termine/12_2013/">Dezembertreffen 2013</a>|
| 6. November 2013|<a href="/Treffen/Termine/11_2013/">Novembertreffen 2013</a>|
| 2. Oktober 2013|<a href="/Treffen/Termine/10_2013/">Oktobertreffen 2013</a>|
| 4. September 2013|<a href="/Treffen/Termine/09_2013/">Septembertreffen 2013</a>|
| 7. August 2013|<a href="/Treffen/Termine/08_2013/">Augusttreffen 2013</a>|
| 3. Juli 2013|<a href="/Treffen/Termine/07_2013/">Julitreffen 2013</a>|
| 5. Juni 2013|<a href="/Treffen/Termine/06_2013/">Junitreffen 2013</a>|
| 1. Mai 2013|<a href="/Treffen/Termine/05_2013/">Maitreffen 2013</a>|
| 3. April 2013|<a href="/Treffen/Termine/04_2013/">Apriltreffen 2013</a>|
| 6. März 2013|<a href="/Treffen/Termine/03_2013/">Märztreffen 2013</a>|
| 6. Februar 2013|<a href="/Treffen/Termine/02_2013/">Februartreffen 2013</a>|
| 2. Januar 2013|<a href="/Treffen/Termine/01_2013/">Januartreffen 2013</a>|
|2012|
| 5. Dezember 2012|<a href="/Treffen/Termine/12_2012/">Dezembertreffen 2012</a>|Weihnachtsfeier|
| 7. November 2012|<a href="/Treffen/Termine/11_2012/">Novembertreffen 2012</a>|Vortrag: <a href="/Angebote/Vortraege/Gnublin//">Embedded Linux am Beispiel des Gnublin-Boards</a> (Michael Hartmann)|
| 3. Oktober 2012|<a href="/Treffen/Termine/10_2012/">Oktobertreffen 2012</a>|
| 5. September 2012|<a href="/Treffen/Termine/09_2012/">Septembertreffen 2012</a>|
| 1. August 2012|<a href="/Treffen/Termine/08_2012/">Augusttreffen 2012</a>|
| 4. Juli 2012|<a href="/Treffen/Termine/07_2012/">Julitreffen 2012</a>|
| 6. Juni 2012|<a href="/Treffen/Termine/06_2012/">Junitreffen 2012</a>|Vortrag: <a href="/Angebote/Vortraege/Operational_Transformation//">Operational Transformation - oder: Wie funktioniert Etherpad </a> (Tim Baumann)|
| 2. Mai 2012|<a href="/Treffen/Termine/05_2012/">Maitreffen 2012</a>|
| 4. April 2012|<a href="/Treffen/Termine/04_2012/">Apriltreffen 2012</a>|
| 7. März 2012|<a href="/Treffen/Termine/03_2012/">Märztreffen 2012</a>|
| 1. Februar 2012|<a href="/Treffen/Termine/02_2012/">Februartreffen 2012</a>|
| 4. Januar 2012|<a href="/Treffen/Termine/01_2012/">Januartreffen 2012</a>|
|2011|
| 7. Dezember 2011|<a href="/Treffen/Termine/12_2011/">Dezembertreffen 2011</a>|Weihnachtsfeier|
| 2. November 2011|<a href="/Treffen/Termine/11_2011/">Novembertreffen 2011</a>|Vorbesprechung LIT 2012|
| 5. Oktober 2011|<a href="/Treffen/Termine/10_2011/">Oktobertreffen 2011</a>|
| 7. September 2011|<a href="/Treffen/Termine/09_2011/">Septembertreffen 2011</a>|
| 3. August 2011|<a href="/Treffen/Termine/08_2011/">Augusttreffen 2011</a>|
| 6. Juli 2011|<a href="/Treffen/Termine/07_2011/">Julitreffen 2011</a>|
| 1. Juni 2011|<a href="/Treffen/Termine/06_2011/">Junitreffen 2011</a>|
| 4. Mai 2011|<a href="/Treffen/Termine/05_2011/">Maitreffen 2011</a>|Vortrag: AVR-Mikrocontroller (Michael Hartmann)|
| 6. April 2011|<a href="/Treffen/Termine/04_2011/">Apriltreffen 2011</a>|Gnome-3-Release-Party|
| 2. März 2011|<a href="/Treffen/Termine/03_2011/">Märztreffen 2011</a>|Vorbesprechung Linux-Infotag|
| 2. Februar 2011|<a href="/Treffen/Termine/02_2011/">Februartreffen 2011</a>|Vortrag: "Tuxinator" - ein Akinator-Clone (Edmund Jung)|
