#Register der Vorträge;
#Neueste Vorträge bitte oben einfügen;
#datum YYYY-MM-DD|Titel|Referent|Dateiname
2012-03-24|Sicherheit im Bereich der Gebäudeautomation|Steffen Wendzel|Gebaeudeautomation_LIT_2012
2012-03-24|Sicheres DNS mit Unbound und DNSSEC-Trigger|Carsten Strotmann|DNSSEC_LIT_2012
2012-03-24|RestrictedBoot, digitale Schulbücher, proprietäre Formate - Welche Hürden liegen vor uns und wie können wir sie erfolgreich meistern? |Björn Schießle|RestrictedBoot_LIT_2012
2012-03-24|Postscript- und PDF-Dokumente durchsuchen |Frank Hofmann und Thomas Winde|PS_PDF_durchsuchen_LIT_2012
2012-03-24|Netzwerksniffing mit Wireshark|Ingo Blechschmidt|Wireshark_LIT_2012
2012-03-24|Mit Sicherheit Linux|Richard Albrecht|Mit_Sicherheit_Linux_LIT_2012
2012-03-24|LibreOffice und The Document Foundation|Florian Effenberger|LibreOffice_u_TDF_LIT_2012
2012-03-24|Firefox und Thunderbird plattformübergreifend nutzen |Jana Wisniowska|Firefox_Thunderbird_LIT_2012
2012-03-24|Datenrettung mit Linux|Daniel Wegemer|Datenrettung_LIT_2012
2012-03-24|Apt - das Paketverwaltungssystem für Debian GNU/Linux|Thomas Winde|APT_LIT_2012
2012-03-24|"Gnublin" Board mit Embedded Linux|Hubert Högl|Gnublin_LIT_2012
2011-03-26|vim lernen und mit Linux arbeiten|Frank Hofmann, Thomas Winde|vim_Linux_LIT_2011
2011-03-26|Webanwendungen mit node.js|Tim Baumann|node
2011-03-26|Verteilte Versionskontrolle mit Git|Sebastian Harl|Git_LIT_2011
2011-03-26|Sicherheit und Virtualisierung mit Ubuntu|Richard Albrecht|Ubuntu_LIT_2011
2011-03-26|LibreOffice und The Document Foundation|Florian Effenberger|LibreOffice_LIT_2011
2011-03-26|Kryptographie|Ingo Blechschmidt|Kryptographie_LIT_2011
2011-03-26|Keynote: Management und Open Source - zwei Welten?|Thomas Gleixner|Keynote_LIT_2011
2011-03-26|HTML5 Webentwicklung|Johannes Stein|HTML5_LIT_2011
2011-03-26|GNU Parallel - the command line power tool|Ole Tange|GNU_Parallel_LIT_2011
2011-03-26|Debian - jetzt auch ohne Linux |Christoph Egger|Debian_kfreebsd_LIT_2011
2011-03-26|Booten in 15 statt 44 Sekunden - Optimieren durch physikalische Umsortierung|Andreas Rid|Booten_LIT_2011
2011-03-26|Bilddaten automatisiert verarbeiten|Frank Hofmann|Bilddaten_automatisch_LIT_2011
2011-03-26|Aktuelle Entwicklungen beim Linux-Kernel|Thorsten Leemhuis|Linux_Kernel_LIT_2011
2011-01-05|Internet Protocol v6|Ingo Blechschmidt|IPv6_2011
2010-03-27|Virtual Box|Michael Roppel|Virtual_Box_LIT_2010
2010-03-27|Verschlüsselung von Daten - welche Möglichkeiten gibt es?|Bernd Müller|Verschluesselung_LIT_2010
2010-03-27|Unicode und Internationalized Domain Names|Thomas Kühne|Unicode_LIT_2010
2010-03-27|Quo vadis Linux-HA?|Michael Schwartzkopff|Quo_vadis_Linux_HA_LIT_2010
2010-03-27|OpenOffice.org - Programm & Community im Überblick|Florian Effenberger|OpenOffice
2010-03-27|Musik für unterwegs|Thomas Winde, Frank Hofmann|Musik_fuer_unterwegs_LIT_2010
2010-03-27|Haskell, eine rein funktionale Programmiersprache|Ingo Blechschmidt|Haskell_LIT_2010
2010-03-27|Freies Wissen|Martin Haase|Freies_Wissen_LIT_2010
2010-03-27|Einführung in verdeckte Kanäle (Covert Channels)|Steffen Wendzel|Covert_Channels_LIT_2010
2010-03-27|Das KDE-Ökosystem|Eckhart Wörner|KDE_LIT_2010
2010-03-27|Barrierefreies PDF|Frank Hofmann|Barrierefreies_PDF_LIT_2010
